unbounded_fraction,alpha,exponent,coalition_size,kappa,truthful_share,capture_ratio,capture_ratio_formula,budget_captured,budget_captured_solo_sum,superadditive,outsider_loss,welfare_loss
0.0,2.0,-0.5,10,1.5,0.6044730015378965,1.0782664090890306,1.0782664090890306,0.04728141401598951,0.12591008422245523,False,0.11959916364958974,0.009758541236170095
0.0,2.0,-0.5,11,1.5,0.6683557285647037,1.0648060301269453,1.0648060301269453,0.04329050511495522,0.1391595452037808,False,0.13058951705012387,0.009054129065436624
0.0,2.0,-0.5,12,1.5,0.7329137726296651,1.0515404236364736,1.0515404236364736,0.037757641061145875,0.15253723614898015,False,0.14142083939352676,0.00800497131171546
0.0,2.0,-0.5,13,1.5,0.798062413891618,1.0384843848353598,1.0384843848353598,0.030701710526128283,0.1660267465619463,False,0.15208105043509593,0.006600196432362325
0.0,2.0,-0.5,14,1.5,0.8643312331608194,1.025532418807605,1.025532418807605,0.022062531246298173,0.1797281338997151,False,0.16265628641304977,0.004811527439189588
0.0,2.0,-0.5,15,1.5,0.9318400225617273,1.0126662994383984,1.0126662994383981,0.011801408008099314,0.1936627897967477,False,0.17316142888781502,0.0026122244174732884
0.0,2.0,-0.5,16,1.5,1.0,1.0,1.0,0.0,0.20771973770891208,False,0.0,0.0
0.0,4.0,-0.75,1,1.5,0.05543148363312664,1.3292193663871297,1.3292193663871297,0.01824161037203079,0.01824161037203079,False,0.019317973269230827,0.008228496190362233
0.0,4.0,-0.75,2,1.5,0.11135174290531404,1.3038145850159426,1.3038145850159426,0.03380296769883253,0.03663222681348163,False,0.038061314747518886,0.015693475924207355
0.0,4.0,-0.75,3,1.5,0.1681078088915274,1.2790058528607953,1.2790058528607953,0.046851410332896054,0.05527743453250875,False,0.056364898298711996,0.02241693442172593
0.0,4.0,-0.75,4,1.5,0.22545053411734362,1.2548836606405376,1.2548836606405378,0.0573814713602692,0.0740998172451459,False,0.07416196096117518,0.028333741458522105
0.0,4.0,-0.75,5,1.5,0.28383424431029086,1.2312408798087446,1.2312408798087444,0.06552162413860232,0.09323719107529115,False,0.09160531967983043,0.033445457943574966
0.0,4.0,-0.75,6,1.5,0.3436562597527278,1.207919372207705,1.2079193722077048,0.07131950286060168,0.11280817406156156,False,0.10881164688131321,0.03771279287340213
0.0,4.0,-0.75,7,1.5,0.4044957672696623,1.1850879940556922,1.185087994055692,0.07472080874187667,0.13268439018599418,False,0.1256563624830956,0.041015305189348296
0.0,4.0,-0.75,8,1.5,0.4669088089851332,1.1625381560728465,1.1625381560728465,0.07575640881976704,0.1530301676847329,False,0.14229336114162017,0.043280050232892886
0.0,4.0,-0.75,9,1.5,0.530149241769994,1.140547247944098,1.1405472479440977,0.07439195286600987,0.1736212996974317,False,0.1585179880908715,0.044344072806179774
0.0,4.0,-0.75,10,1.5,0.5941253550218238,1.1191296402496131,1.1191296402496131,0.0706787168779487,0.19442974880162414,False,0.17431964089001864,0.04407702967401179
0.0,4.0,-0.75,11,1.5,0.6586307058644131,1.0983340025528523,1.0983340025528523,0.06468620183001367,0.2153940739780462,False,0.18966241172178108,0.042325234571429525
0.0,4.0,-0.75,12,1.5,0.7241648990807183,1.0779830175444436,1.0779830175444436,0.05641372193168733,0.2366610959063713,False,0.2046771231597131,0.03887113552979089
