system,weights,ky,kx,radius,extracted_magnitude,extracted_freq,label,exact_magnitude,exact_freq,magnitude_error,freq_error
rotating,shuffled,-2,5,5.385164807134504,0.007472804371913893,0.49885112968367074,damped,0.8942194068777493,0.023873241463784306,-0.8867466025058354,0.4749778882198864
rotating,shuffled,-1,0,1.0,0.007412093648471555,0.49996017804427123,damped,0.9961521079633432,0.0238732414637843,-0.9887400143148717,0.47608693658048695
rotating,shuffled,-1,1,1.4142135623730951,0.007437493040397669,0.49902764837147995,damped,0.9923190221998122,0.0238732414637843,-0.9848815291594145,0.47515440690769567
rotating,shuffled,-1,2,2.23606797749979,0.007441693971682427,0.49835353556847406,damped,0.9809080339138542,0.0238732414637843,-0.9734663399421718,0.4744802941046898
rotating,shuffled,-1,3,3.1622776601683795,0.007352918962538338,0.4995047847593352,damped,0.9621805709967428,0.023873241463784306,-0.9548276520342045,0.4756315432955509
rotating,shuffled,-1,4,4.123105625617661,0.007408743160400134,0.4962432913876159,damped,0.9365612634996526,0.023873241463784296,-0.9291525203392524,0.47237004992383164
rotating,shuffled,-1,5,5.0990195135927845,0.007375043550080011,0.4984207500681678,damped,0.9046219388421827,0.023873241463784306,-0.8972468952921027,0.47454750860438344
rotating,shuffled,0,0,0.0,0.0073801987117699756,0.5,damped,0.9999999999999999,0.0238732414637843,-0.9926198012882299,0.4761267585362157
rotating,shuffled,0,1,1.0,0.007391567735631117,0.49806501098345474,damped,0.9961521079633432,0.0238732414637843,-0.9887605402277121,0.47419176951967046
rotating,shuffled,0,2,2.0,0.007696193698579744,0.499333715816289,damped,0.9846970418195912,0.023873241463784306,-0.9770008481210114,0.4754604743525047
rotating,shuffled,0,3,3.0,0.007322765602288271,0.4970471532896971,damped,0.9658972392920434,0.023873241463784306,-0.9585744736897551,0.47317391182591284
rotating,shuffled,0,4,4.0,0.007547698567434965,0.49779718858122124,damped,0.9401789706739411,0.0238732414637843,-0.9326312721065061,0.47392394711743696
rotating,shuffled,0,5,5.0,0.007499372024092243,0.49700553815950743,damped,0.9081162722143948,0.0238732414637843,-0.9006169001903026,0.47313229669572315
rotating,shuffled,0,6,6.0,0.007526773455815533,0.4999088938577579,damped,0.8704096536513517,0.0238732414637843,-0.8628828801955362,0.4760356523939736
rotating,shuffled,1,0,1.0,0.00741223344339447,0.4999365677788816,damped,0.9961521079633432,0.0238732414637843,-0.9887398745199487,0.47606332631509735
rotating,shuffled,1,1,1.4142135623730951,0.007535747425045144,0.49884812697082415,damped,0.9923190221998122,0.0238732414637843,-0.984783274774767,0.47497488550703987
rotating,shuffled,1,2,2.23606797749979,0.007712237766454208,0.49709657533837365,damped,0.9809080339138542,0.0238732414637843,-0.9731957961473999,0.47322333387458937
rotating,shuffled,1,3,3.1622776601683795,0.0073920555890523935,0.49653880174338116,damped,0.9621805709967428,0.023873241463784306,-0.9547885154076904,0.47266556027959683
rotating,shuffled,1,4,4.123105625617661,0.007492426691532987,0.4996826137664685,damped,0.9365612634996526,0.023873241463784296,-0.9290688368081197,0.4758093723026842
rotating,shuffled,1,5,5.0990195135927845,0.0074558299232943106,0.49650394531459,damped,0.9046219388421827,0.023873241463784306,-0.8971661089188884,0.47263070385080574
rotating,shuffled,2,0,2.0,0.007379471714456204,0.49973966772939515,damped,0.9846970418195912,0.023873241463784306,-0.977317570105135,0.4758664262656108
rotating,shuffled,2,1,2.23606797749979,0.00735377504415984,0.49687486619259136,damped,0.9809080339138542,0.0238732414637843,-0.9735542588696944,0.4730016247288071
rotating,shuffled,2,2,2.8284271247461903,0.007707568434190123,0.49848132847193133,damped,0.9696282641682539,0.0238732414637843,-0.9619206957340638,0.47460808700814705
rotating,shuffled,2,3,3.605551275463989,0.007399058218348958,0.4976969401615899,damped,0.9511161542325851,0.0238732414637843,-0.9437170960142361,0.4738236986978056
rotating,shuffled,2,4,4.47213595499958,0.007397710169518743,0.49687121426672315,damped,0.9257914512036179,0.023873241463784306,-0.9183937410340992,0.47299797280293887
rotating,shuffled,2,5,5.385164807134504,0.007506580900003772,0.4996567722529789,damped,0.8942194068777493,0.023873241463784306,-0.8867128259777455,0.47578353078919455
rotating,shuffled,3,0,3.0,0.007495063013909778,0.4996695949088384,damped,0.9658972392920434,0.023873241463784306,-0.9584021762781336,0.4757963534450541
rotating,shuffled,3,1,3.1622776601683795,0.007435544717036521,0.49718824546604157,damped,0.9621805709967428,0.023873241463784306,-0.9547450262797063,0.47331500400225723
