arm,kind,dose,n_components,params_moved,frac_of_model,test_vrmse,train_s,ray,distance,seed,diffusion,omega,budget
transplant_damped_2,transplant_damped,2,2,168,0.02364,0.06844362616539001,9.3,sharp,0.0,1,0.4,0.6,4
transplant_damped_2,transplant_damped,2,2,168,0.02364,0.07885879278182983,9.4,sharp,0.0,2,0.4,0.6,4
transplant_resonant_3,transplant_resonant,3,3,252,0.03546,0.06286697089672089,9.4,sharp,0.0,0,0.4,0.6,4
transplant_resonant_3,transplant_resonant,3,3,252,0.03546,0.06555457413196564,9.3,sharp,0.0,1,0.4,0.6,4
transplant_resonant_3,transplant_resonant,3,3,252,0.03546,0.07706698775291443,9.3,sharp,0.0,2,0.4,0.6,4
transplant_damped_3,transplant_damped,3,3,252,0.03546,0.06470075994729996,9.3,sharp,0.0,0,0.4,0.6,4
transplant_damped_3,transplant_damped,3,3,252,0.03546,0.0676863044500351,9.3,sharp,0.0,1,0.4,0.6,4
transplant_damped_3,transplant_damped,3,3,252,0.03546,0.07853102684020996,9.3,sharp,0.0,2,0.4,0.6,4
scratch,scratch,0,0,0,0.0,0.059218015521764755,9.3,sharp,0.25,0,0.33518675423150235,0.7160187476687697,4
scratch,scratch,0,0,0,0.0,0.06297989934682846,9.3,sharp,0.25,1,0.33518675423150235,0.7160187476687697,4
scratch,scratch,0,0,0,0.0,0.07261263579130173,9.3,sharp,0.25,2,0.33518675423150235,0.7160187476687697,4
finetune,finetune,-1,0,7106,1.0,0.011964102275669575,9.3,sharp,0.25,0,0.33518675423150235,0.7160187476687697,4
finetune,finetune,-1,0,7106,1.0,0.011997359804809093,9.3,sharp,0.25,1,0.33518675423150235,0.7160187476687697,4
finetune,finetune,-1,0,7106,1.0,0.01216418482363224,9.3,sharp,0.25,2,0.33518675423150235,0.7160187476687697,4
transplant_all,transplant_all,-2,8,672,0.09457,0.05279935151338577,9.3,sharp,0.25,0,0.33518675423150235,0.7160187476687697,4
transplant_all,transplant_all,-2,8,672,0.09457,0.053914137184619904,9.5,sharp,0.25,1,0.33518675423150235,0.7160187476687697,4
transplant_all,transplant_all,-2,8,672,0.09457,0.06857021152973175,9.3,sharp,0.25,2,0.33518675423150235,0.7160187476687697,4
transplant_resonant_1,transplant_resonant,1,1,84,0.01182,0.05765066295862198,9.3,sharp,0.25,0,0.33518675423150235,0.7160187476687697,4
transplant_resonant_1,transplant_resonant,1,1,84,0.01182,0.06061345338821411,9.3,sharp,0.25,1,0.33518675423150235,0.7160187476687697,4
transplant_resonant_1,transplant_resonant,1,1,84,0.01182,0.07128242403268814,9.3,sharp,0.25,2,0.33518675423150235,0.7160187476687697,4
transplant_damped_1,transplant_damped,1,1,84,0.01182,0.058573924005031586,9.3,sharp,0.25,0,0.33518675423150235,0.7160187476687697,4
transplant_damped_1,transplant_damped,1,1,84,0.01182,0.06212131306529045,9.3,sharp,0.25,1,0.33518675423150235,0.7160187476687697,4
transplant_damped_1,transplant_damped,1,1,84,0.01182,0.07233328372240067,9.3,sharp,0.25,2,0.33518675423150235,0.7160187476687697,4
transplant_resonant_2,transplant_resonant,2,2,168,0.02364,0.05670887604355812,9.3,sharp,0.25,0,0.33518675423150235,0.7160187476687697,4
transplant_resonant_2,transplant_resonant,2,2,168,0.02364,0.059605833142995834,9.4,sharp,0.25,1,0.33518675423150235,0.7160187476687697,4
transplant_resonant_2,transplant_resonant,2,2,168,0.02364,0.07064341008663177,9.3,sharp,0.25,2,0.33518675423150235,0.7160187476687697,4
transplant_damped_2,transplant_damped,2,2,168,0.02364,0.057902731001377106,9.3,sharp,0.25,0,0.33518675423150235,0.7160187476687697,4
transplant_damped_2,transplant_damped,2,2,168,0.02364,0.06119707599282265,9.3,sharp,0.25,1,0.33518675423150235,0.7160187476687697,4
transplant_damped_2,transplant_damped,2,2,168,0.02364,0.07170325517654419,9.4,sharp,0.25,2,0.33518675423150235,0.7160187476687697,4
transplant_resonant_3,transplant_resonant,3,3,252,0.03546,0.05571475997567177,9.3,sharp,0.25,0,0.33518675423150235,0.7160187476687697,4
transplant_resonant_3,transplant_resonant,3,3,252,0.03546,0.058293502777814865,9.3,sharp,0.25,1,0.33518675423150235,0.7160187476687697,4
transplant_resonant_3,transplant_resonant,3,3,252,0.03546,0.07030797749757767,9.4,sharp,0.25,2,0.33518675423150235,0.7160187476687697,4
transplant_damped_3,transplant_damped,3,3,252,0.03546,0.057390544563531876,9.3,sharp,0.25,0,0.33518675423150235,0.7160187476687697,4
transplant_damped_3,transplant_damped,3,3,252,0.03546,0.060587070882320404,9.3,sharp,0.25,1,0.33518675423150235,0.7160187476687697,4
transplant_damped_3,transplant_damped,3,3,252,0.03546,0.07151399552822113,9.3,sharp,0.25,2,0.33518675423150235,0.7160187476687697,4
scratch,scratch,0,0,0,0.0,0.053773947060108185,9.3,sharp,0.5,0,0.2808754005306239,0.854471411688589,4
scratch,scratch,0,0,0,0.0,0.05653512850403786,9.3,sharp,0.5,1,0.2808754005306239,0.854471411688589,4
scratch,scratch,0,0,0,0.0,0.06791727989912033,9.3,sharp,0.5,2,0.2808754005306239,0.854471411688589,4
finetune,finetune,-1,0,7106,1.0,0.010730739682912827,9.3,sharp,0.5,0,0.2808754005306239,0.854471411688589,4
finetune,finetune,-1,0,7106,1.0,0.010761648416519165,9.3,sharp,0.5,1,0.2808754005306239,0.854471411688589,4
finetune,finetune,-1,0,7106,1.0,0.010869812220335007,9.6,sharp,0.5,2,0.2808754005306239,0.854471411688589,4
transplant_all,transplant_all,-2,8,672,0.09457,0.048037733882665634,9.4,sharp,0.5,0,0.2808754005306239,0.854471411688589,4
transplant_all,transplant_all,-2,8,672,0.09457,0.048348408192396164,9.4,sharp,0.5,1,0.2808754005306239,0.854471411688589,4
transplant_all,transplant_all,-2,8,672,0.09457,0.06462954729795456,9.2,sharp,0.5,2,0.2808754005306239,0.854471411688589,4
transplant_resonant_1,transplant_resonant,1,1,84,0.01182,0.052344001829624176,9.3,sharp,0.5,0,0.2808754005306239,0.854471411688589,4
transplant_resonant_1,transplant_resonant,1,1,84,0.01182,0.05432296544313431,9.3,sharp,0.5,1,0.2808754005306239,0.854471411688589,4
transplant_resonant_1,transplant_resonant,1,1,84,0.01182,0.066826231777668,9.3,sharp,0.5,2,0.2808754005306239,0.854471411688589,4
transplant_damped_1,transplant_damped,1,1,84,0.01182,0.05321471020579338,9.7,sharp,0.5,0,0.2808754005306239,0.854471411688589,4
transplant_damped_1,transplant_damped,1,1,84,0.01182,0.05576165392994881,9.2,sharp,0.5,1,0.2808754005306239,0.854471411688589,4
transplant_damped_1,transplant_damped,1,1,84,0.01182,0.06768812239170074,9.2,sharp,0.5,2,0.2808754005306239,0.854471411688589,4
transplant_resonant_2,transplant_resonant,2,2,168,0.02364,0.05145017430186272,9.2,sharp,0.5,0,0.2808754005306239,0.854471411688589,4
transplant_resonant_2,transplant_resonant,2,2,168,0.02364,0.053355518728494644,9.2,sharp,0.5,1,0.2808754005306239,0.854471411688589,4
transplant_resonant_2,transplant_resonant,2,2,168,0.02364,0.06628669798374176,9.2,sharp,0.5,2,0.2808754005306239,0.854471411688589,4
